iter	Logloss	F1
0	0.6568113432	0.807485724
1	0.6257308427	0.8069027746
2	0.5931091192	0.8070848375
3	0.5668191596	0.8071758998
4	0.5402773908	0.8073166601
5	0.5198508311	0.8069937958
6	0.4989174758	0.8071303661
7	0.4788428071	0.8070868363
8	0.4613621384	0.8071323778
9	0.4470550922	0.8071323778
10	0.433602975	0.8071303661
11	0.4208541758	0.8071303661
12	0.4102689138	0.8071303661
13	0.3991174064	0.8071343907
14	0.3903821341	0.807455521
15	0.3815796904	0.8074120106
16	0.3747110863	0.8071758998
17	0.3677384761	0.807271085
18	0.3617458345	0.8074337683
19	0.3558965173	0.807255467
20	0.3511070483	0.8074576271
21	0.3463306945	0.8074576271
22	0.3420868069	0.8074576271
23	0.3380647891	0.8074576271
24	0.3340945336	0.807390248
25	0.3310603803	0.8074576271
26	0.3285775685	0.8077118788
27	0.3256695957	0.8076923077
28	0.3235199846	0.8076227098
29	0.3213697557	0.8076444645
30	0.3190097505	0.8076901329
31	0.3170001841	0.8076901329
32	0.3151395919	0.8076901329
33	0.313899741	0.8077336198
34	0.3123714367	0.8076662144
35	0.311097055	0.8076662144
36	0.3095787714	0.8077358064
37	0.3082029038	0.8075335105
38	0.306976051	0.8075791855
39	0.3059872235	0.8076248657
40	0.3051090982	0.807670551
41	0.3041833711	0.8076683821
42	0.3031881248	0.8076487893
43	0.3025386854	0.8076487893
44	0.3017211891	0.807557416
45	0.3012040945	0.8074899587
46	0.3005714739	0.8074224938
47	0.2997733805	0.8076052512
48	0.2992084636	0.8075356415
49	0.2985670222	0.8078098472
50	0.2979206709	0.8078555662
51	0.297433913	0.8078555662
52	0.2968166046	0.8080842391
53	0.296300357	0.8079927544
54	0.2959219637	0.8081299892
55	0.295587828	0.8080625071
56	0.2952385173	0.8081299892
57	0.294767076	0.8084045987
58	0.2944704796	0.8084093614
59	0.2939529428	0.8084575704
60	0.2936183674	0.8085251105
61	0.2932405838	0.8083900227
62	0.2929511079	0.8083730429
63	0.2925496779	0.8084454282
64	0.2923611794	0.8084212916
65	0.2921328116	0.8085154698
66	0.2919311412	0.8087400681
67	0.2917930417	0.8087884637
68	0.2915909345	0.8089338486
69	0.291230171	0.8088226934
70	0.2910711552	0.8090666364
71	0.2908705653	0.8089989774
72	0.2907250706	0.8089530194
73	0.2905870285	0.8090423719
74	0.290520059	0.809161173
75	0.290382044	0.8098026952
76	0.2901757635	0.8098026952
77	0.2901037155	0.8099408553
78	0.2899585181	0.8096917302
79	0.2898565832	0.8098487433
80	0.2897504168	0.8096889748
81	0.2896112898	0.8096023665
82	0.2895442612	0.8096728307
83	0.2894223091	0.8095400729
84	0.2892004213	0.8095156792
85	0.2891008815	0.8095129722
86	0.2889351171	0.8092663214
87	0.2888671271	0.8094045315
88	0.2886986682	0.8094045315
89	0.288535632	0.8094966978
90	0.2884228588	0.8097000057
91	0.2882667916	0.8097949886
92	0.2881512936	0.809550946
93	0.2880672092	0.8099578444
94	0.2880200293	0.8098900473
95	0.2878690521	0.8098711957
96	0.2878035998	0.8096704299
97	0.2877074537	0.809700428
98	0.2876324799	0.8100399315
99	0.2875124534	0.8100182565
100	0.2873712124	0.8099503623
101	0.2873014855	0.8099748916
102	0.2872360565	0.8098852805
103	0.2871709252	0.8098635767
104	0.2870949101	0.8098173516
105	0.2870112841	0.8098173516
106	0.2868767605	0.8098635767
107	0.2867940577	0.809773921
108	0.2867345631	0.8097984354
109	0.2866672557	0.8100268372
110	0.286556282	0.8101873001
111	0.2865189962	0.8100976641
112	0.286463237	0.8104619953
113	0.2863813612	0.8105978416
114	0.2863433709	0.810508281
115	0.2862969098	0.8105762092
116	0.286255867	0.8106471697
117	0.2861709888	0.8106502114
118	0.2861286944	0.8106285714
119	0.286086448	0.8106965316
120	0.2860110735	0.8105142857
121	0.2859468766	0.8104246442
122	0.285878748	0.8104246442
123	0.2858133043	0.8104926277
124	0.2857413254	0.8106995885
125	0.2856726218	0.8106748957
126	0.2856225278	0.810378329
127	0.2855774119	0.8104463112
128	0.2855024741	0.810631609
129	0.2854712314	0.8107242897
130	0.2853301097	0.8106129918
131	0.2852729148	0.8106129918
132	0.2852324427	0.8106129918
133	0.2851178975	0.8107737176
134	0.285046324	0.8107737176
135	0.2849851509	0.8108633505
136	0.2849260324	0.8106346484
137	0.2848785673	0.8107737176
138	0.2848251726	0.8106809995
139	0.2847423757	0.8107984443
140	0.284682806	0.8109128346
141	0.2846488708	0.8108448207
142	0.2845924243	0.8107551487
143	0.2845522411	0.8109159563
144	0.2844781408	0.8110551614
145	0.2844347724	0.8111944142
146	0.2843505658	0.8116406966
147	0.2842747492	0.8117087701
148	0.28420847	0.8117087701
149	0.2841510809	0.8116622752
150	0.2840979824	0.8120093967
151	0.28404592	0.8120128381
152	0.2839575758	0.8117620085
153	0.2839172277	0.8117835855
154	0.2838375087	0.8119731636
155	0.2837828163	0.8121775026
156	0.2836999404	0.812034384
157	0.2836705664	0.8119197708
158	0.2835930296	0.8119197708
159	0.2835291744	0.8121489971
160	0.2834771691	0.8122170649
161	0.2834260373	0.812034384
162	0.2833822074	0.8121489971
163	0.283306068	0.8121059269
164	0.2832315727	0.8122205663
165	0.2831874787	0.81231722
166	0.2831078203	0.8122921683
167	0.2830686496	0.812338742
168	0.2830220491	0.8124534144
169	0.2829745858	0.8125
170	0.2828869625	0.8127078793
171	0.2827731227	0.812940974
172	0.2827238405	0.8128299289
173	0.2826442486	0.8127618064
174	0.282594983	0.8129446867
175	0.2825480596	0.8129232182
176	0.2824843714	0.8129232182
177	0.2824187114	0.8127403156
178	0.282345374	0.81271882
179	0.2822857168	0.81271882
180	0.2822487641	0.8126721763
181	0.2821826982	0.8129054481
182	0.2821277064	0.8126794533
