iter	Passed	Remaining
0	16	33871
1	34	34238
2	49	33254
3	65	32577
4	81	32653
5	97	32387
6	113	32306
7	130	32443
8	147	32549
9	164	32636
10	179	32539
11	196	32512
12	211	32325
13	226	32174
14	240	31832
15	256	31795
16	273	31850
17	288	31713
18	302	31505
19	319	31587
20	334	31545
21	351	31592
22	365	31438
23	381	31411
24	395	31226
25	411	31259
26	426	31165
27	441	31116
28	463	31534
29	477	31367
30	494	31425
31	517	31828
32	532	31762
33	550	31830
34	570	32041
35	586	31991
36	605	32101
37	622	32116
38	639	32139
39	659	32299
40	675	32277
41	688	32108
42	708	32265
43	722	32127
44	738	32066
45	754	32050
46	768	31946
47	784	31918
48	800	31892
49	815	31820
50	830	31732
51	844	31654
52	860	31612
53	876	31573
54	891	31539
55	906	31470
56	921	31408
57	938	31409
58	953	31359
59	968	31312
60	983	31264
61	998	31206
62	1013	31170
63	1030	31164
64	1045	31113
65	1060	31088
66	1076	31046
67	1091	30998
68	1106	30973
69	1121	30915
70	1137	30913
71	1153	30888
72	1170	30886
73	1185	30863
74	1201	30833
75	1216	30796
76	1231	30762
77	1246	30710
78	1260	30640
79	1275	30615
80	1290	30569
81	1304	30513
82	1321	30512
83	1336	30486
84	1351	30445
85	1366	30422
86	1383	30413
87	1398	30386
88	1414	30370
89	1430	30351
90	1445	30328
91	1463	30342
92	1477	30294
93	1492	30253
94	1507	30225
95	1521	30174
96	1537	30161
97	1554	30170
98	1569	30128
99	1583	30092
100	1601	30111
101	1617	30089
102	1632	30068
103	1648	30057
104	1664	30041
105	1679	30014
106	1693	29961
107	1709	29953
108	1724	29925
109	1739	29885
110	1754	29856
111	1768	29813
112	1784	29791
113	1799	29769
114	1814	29748
115	1829	29705
116	1845	29698
117	1861	29695
118	1875	29651
119	1890	29623
120	1906	29601
121	1922	29599
122	1939	29590
123	1955	29591
124	1972	29585
125	1989	29596
126	2006	29588
127	2023	29600
128	2038	29561
129	2053	29533
130	2068	29517
131	2083	29488
132	2098	29462
133	2115	29452
134	2130	29428
135	2145	29402
136	2164	29440
137	2184	29469
138	2200	29464
139	2218	29469
140	2235	29479
141	2254	29501
142	2271	29497
143	2290	29518
144	2308	29536
145	2327	29557
146	2344	29556
147	2363	29581
148	2383	29605
149	2400	29612
150	2418	29614
151	2436	29618
152	2454	29632
153	2472	29641
154	2490	29643
155	2507	29642
156	2525	29648
157	2544	29660
158	2562	29672
159	2580	29676
160	2598	29677
161	2616	29684
162	2633	29676
163	2652	29690
164	2670	29702
165	2685	29665
166	2702	29663
167	2720	29662
168	2739	29679
169	2754	29653
170	2772	29654
171	2790	29660
172	2809	29671
173	2825	29650
174	2841	29630
175	2857	29610
176	2873	29594
177	2888	29568
178	2906	29565
179	2922	29552
180	2939	29540
181	2954	29517
182	2969	29484
183	2985	29461
184	3000	29435
185	3016	29417
186	3033	29408
187	3049	29388
188	3063	29355
189	3078	29327
190	3093	29299
191	3109	29282
192	3126	29274
193	3144	29268
194	3159	29246
195	3174	29218
196	3190	29200
197	3205	29177
198	3221	29156
199	3237	29138
200	3252	29112
201	3269	29098
202	3285	29084
203	3301	29067
204	3316	29041
205	3331	29014
206	3348	29005
207	3364	28985
208	3377	28944
209	3393	28923
210	3409	28911
211	3425	28890
212	3440	28868
213	3456	28851
214	3472	28831
215	3488	28814
216	3503	28784
217	3518	28762
218	3535	28748
219	3550	28728
220	3565	28702
221	3580	28675
222	3596	28657
223	3610	28625
224	3625	28598
225	3639	28571
226	3655	28554
227	3670	28524
228	3685	28499
229	3702	28493
230	3718	28472
231	3733	28450
232	3749	28431
233	3766	28423
234	3781	28400
235	3796	28374
236	3813	28366
237	3828	28346
238	3844	28325
239	3860	28310
240	3876	28296
241	3892	28275
242	3908	28262
243	3925	28251
244	3941	28232
245	3956	28209
246	3972	28192
247	3987	28171
248	4004	28160
249	4021	28150
250	4037	28136
251	4054	28122
252	4068	28094
253	4084	28078
254	4099	28056
255	4114	28033
256	4130	28016
257	4147	28005
258	4163	27987
259	4179	27973
260	4195	27956
261	4211	27935
262	4227	27919
263	4242	27900
264	4257	27871
265	4271	27845
266	4287	27826
267	4302	27806
268	4318	27788
269	4334	27770
270	4349	27748
271	4364	27728
272	4379	27702
273	4395	27685
274	4410	27665
275	4425	27640
276	4439	27614
277	4454	27594
278	4469	27571
279	4486	27557
280	4501	27539
281	4516	27513
282	4530	27484
283	4546	27468
284	4561	27451
285	4577	27431
286	4594	27420
287	4610	27406
288	4625	27383
289	4641	27368
290	4656	27347
291	4671	27324
292	4688	27313
293	4704	27296
294	4718	27272
295	4734	27255
296	4749	27235
297	4765	27219
298	4782	27207
299	4799	27196
300	4814	27177
301	4830	27160
302	4847	27150
303	4863	27131
304	4879	27118
305	4895	27099
306	4911	27082
307	4926	27065
308	4942	27047
309	4958	27029
310	4973	27008
311	4989	26993
312	5006	26981
313	5021	26963
314	5037	26944
315	5052	26926
316	5069	26915
317	5084	26895
318	5100	26880
319	5115	26856
320	5130	26837
321	5147	26823
322	5162	26805
323	5177	26783
324	5193	26763
325	5207	26740
326	5223	26725
327	5239	26711
328	5253	26683
329	5269	26664
330	5284	26645
331	5299	26625
332	5314	26603
333	5330	26587
334	5345	26568
335	5361	26550
336	5376	26531
337	5392	26517
338	5406	26492
339	5420	26465
340	5435	26445
341	5450	26425
342	5465	26402
343	5480	26381
344	5495	26361
345	5510	26341
346	5526	26326
347	5540	26303
348	5555	26282
349	5570	26262
350	5587	26250
351	5603	26235
352	5618	26215
353	5634	26200
354	5651	26186
355	5668	26175
356	5683	26158
357	5699	26141
358	5714	26121
359	5730	26106
360	5746	26090
361	5760	26067
362	5776	26049
363	5792	26033
364	5807	26016
365	5822	25995
366	5837	25975
367	5853	25959
368	5868	25940
369	5884	25924
370	5900	25907
371	5915	25889
372	5931	25874
373	5947	25858
374	5963	25842
375	5979	25826
376	5995	25811
377	6011	25796
378	6026	25775
379	6041	25756
380	6057	25740
381	6073	25725
382	6089	25710
383	6104	25690
384	6118	25666
385	6133	25647
386	6149	25630
387	6165	25616
388	6180	25594
389	6196	25582
390	6213	25568
391	6226	25543
392	6243	25528
393	6259	25516
394	6275	25500
395	6291	25485
396	6306	25464
397	6322	25448
398	6338	25433
399	6355	25420
400	6372	25409
401	6388	25396
402	6405	25384
403	6421	25367
404	6438	25356
405	6453	25335
406	6469	25321
407	6485	25306
408	6501	25289
409	6517	25276
410	6532	25256
411	6548	25238
412	6565	25227
413	6581	25211
414	6596	25192
415	6610	25169
416	6625	25150
417	6643	25142
418	6658	25122
419	6674	25107
420	6690	25094
421	6705	25074
422	6720	25053
423	6734	25032
424	6749	25013
425	6764	24993
426	6782	24984
427	6797	24967
428	6814	24956
429	6830	24940
430	6846	24923
431	6863	24912
432	6879	24898
433	6895	24879
434	6910	24861
435	6926	24844
436	6940	24825
437	6956	24809
438	6971	24788
439	6985	24767
440	7001	24751
441	7018	24739
442	7034	24722
443	7049	24706
444	7064	24686
445	7081	24673
446	7096	24655
447	7112	24638
448	7127	24620
449	7143	24604
450	7158	24585
451	7174	24570
452	7190	24553
453	7206	24538
454	7220	24517
455	7236	24501
456	7252	24488
457	7268	24470
